reaction_id	flux
ABCDxt	0.0063605172
FAOXx	0.0063605172
ARGSL	0.0062334926
OCBT	0.0062334926
ORNTAC	0.0062334926
ACGK	0.0062334926
ARGSS	0.0062334926
AGPR	-0.0062334926
ACOTA	-0.0062334926
MTHFR3	0.0038672725
METS	0.0038672725
HISTP	0.0032067212
IG3PS	0.0032067212
HISTD	0.0032067212
HSTPT	0.0032067212
IGPDH	0.0032067212
PRMICI	0.0032067212
PRATPP	0.0032067212
ATPPRT	0.0032067212
PRAMPC	0.0032067212
TRPS3	0.0015385126
ANS	0.0015385126
ANPRT	0.0015385126
PRAIi	0.0015385126
IGPS	0.0015385126
TRPAS2	-0.0015385126
3OAS160	0.0014998731
3OAR180	0.0014998731
3HAD160	0.0014998731
EAR160x	0.0014998731
3OAS180	0.0014998731
FA180ACPH	0.0014998731
EAR180x	0.0014998731
3HAD180	0.0014998731
3OAR160	0.0014998731
TRDR	0.0007084389
RNTR1	0.0002851661
DHFR	0.0002370177
DTMPK	0.0002319676
NDP8	0.0002319676
RNDR4	0.0002319676
TMDS	0.0002319676
NDPK4	0.0002319676
GMPS2	0.0001323491
GK1	0.0001323491
IMPD	0.0001323491
CTPS2	0.000106753
RNTR2	0.0001034285
RNTR3	8.78766e-05
METAT	1.51502e-05
DB4PS	1.01002e-05
RBFSa	1.01002e-05
NNATr	1.01002e-05
NADS1	1.01002e-05
NNDPR	1.01002e-05
QULNS	1.01002e-05
ASPO5	1.01002e-05
APRAUR	5.0501e-06
HPPK2	5.0501e-06
ADNK1	5.0501e-06
OGMEACPR	5.0501e-06
OGMEACPS	5.0501e-06
MALCOAMT	5.0501e-06
EX_pheme_e	-5.0501e-06
EX_4abz_e	-5.0501e-06
GTPCI	5.0501e-06
AKP1	5.0501e-06
DHNPA2r	5.0501e-06
HPYRRx	5.0501e-06
DHFS	5.0501e-06
AHCi	5.0501e-06
EGMEACPR	5.0501e-06
R_DM_4mhetz_c	-5.0501e-06
R_SINK_dad_5_c	5.0501e-06
R_SINK_amob_c	5.0501e-06
R_DM_4ahmmp_c	-5.0501e-06
PHEMEt	5.0501e-06
MEOHt2	-5.0501e-06
EX_meoh_e	5.0501e-06
4ABZt	-5.0501e-06
OGMEACPD	5.0501e-06
OPMEACPD	5.0501e-06
OPMEACPS	5.0501e-06
OPMEACPR	5.0501e-06
NADK1	5.0501e-06
PMDPHT	5.0501e-06
DHPPDA2	5.0501e-06
GTPCII2	5.0501e-06
RBFSb	5.0501e-06
BTS6	5.0501e-06
DBTS	5.0501e-06
PYDXPP	5.0501e-06
PYDXOR	5.0501e-06
HPYRDC	-5.0501e-06
GLYCK2	5.0501e-06
PYDXS	5.0501e-06
TMPPP	5.0501e-06
THMP	5.0501e-06
HETZK	5.0501e-06
PMPK	5.0501e-06
HMPK4	5.0501e-06
AMAOTr	5.0501e-06
AOXSr2	5.0501e-06
PMEACPE	5.0501e-06
EPMEACPR	5.0501e-06
DHPS2	5.0501e-06
