reaction_id	flux
MTHFR3	0.0029979247
METS	0.0029979247
PRAMPC	0.0024858627
HISTD	0.0024858627
HISTP	0.0024858627
HSTPT	0.0024858627
IGPDH	0.0024858627
PRMICI	0.0024858627
PRATPP	0.0024858627
ATPPRT	0.0024858627
IG3PS	0.0024858627
ANS	0.0011926609
TRPS3	0.0011926609
ANPRT	0.0011926609
TRPAS2	-0.0011926609
IGPS	0.0011926609
PRAIi	0.0011926609
3OAS160	0.0011627075
FA180ACPH	0.0011627075
EAR180x	0.0011627075
3HAD180	0.0011627075
3OAR180	0.0011627075
3OAS180	0.0011627075
EAR160x	0.0011627075
3HAD160	0.0011627075
3OAR160	0.0011627075
TRDR	0.0005491846
RNTR1	0.0002210619
DHFR	0.000183737
NDPK4	0.0001798222
DTMPK	0.0001798222
NDP8	0.0001798222
TMDS	0.0001798222
RNDR4	0.0001798222
IMPD	0.0001025975
GK1	0.0001025975
GMPS2	0.0001025975
CTPS2	8.27553e-05
RNTR2	8.01782e-05
RNTR3	6.81223e-05
METAT	1.17445e-05
NNDPR	7.8297e-06
DB4PS	7.8297e-06
RBFSa	7.8297e-06
QULNS	7.8297e-06
ASPO5	7.8297e-06
NNATr	7.8297e-06
NADS1	7.8297e-06
DHPS2	3.9148e-06
AHCi	3.9148e-06
HPYRRx	3.9148e-06
OPMEACPS	3.9148e-06
EX_4abz_e	-3.9148e-06
EX_pheme_e	-3.9148e-06
PMPK	3.9148e-06
ADNK1	3.9148e-06
PHEMEt	3.9148e-06
R_DM_4mhetz_c	-3.9148e-06
R_SINK_dad_5_c	3.9148e-06
R_SINK_amob_c	3.9148e-06
R_DM_4ahmmp_c	-3.9148e-06
MEOHt2	-3.9148e-06
EX_meoh_e	3.9148e-06
4ABZt	-3.9148e-06
HMPK4	3.9148e-06
PYDXS	3.9148e-06
HETZK	3.9148e-06
GTPCI	3.9148e-06
OPMEACPD	3.9148e-06
EPMEACPR	3.9148e-06
PMEACPE	3.9148e-06
AOXSr2	3.9148e-06
AMAOTr	3.9148e-06
DBTS	3.9148e-06
BTS6	3.9148e-06
NADK1	3.9148e-06
EGMEACPR	3.9148e-06
OGMEACPD	3.9148e-06
OGMEACPR	3.9148e-06
OGMEACPS	3.9148e-06
MALCOAMT	3.9148e-06
AKP1	3.9148e-06
