	minimum	maximum
LDH_D	-1000.0	-0.6217797219004881
GLYOX_1	-0.14734822976620876	0.0
GLYOX	0.0	0.1473482297666837
ME1	0.0	0.4420446893000397
ME2	0.0	0.7791674646923747
ACOAH	-0.4420446892986091	0.0
ACYP_2	0.0	0.0
ACALD	-1.3822766414806158	-0.3717010975784557
ALCD2y	-0.44204468929862584	0.0
ALCD2x	-1.013514567	-0.2753418361297023
IPPS	0.011134058396914333	0.012371175996571565
ACCOAC	0.06994140245079895	0.07771266938977697
MI4PP	0.0	0.0
MI3456PK	0.0	0.0
ITKK	0.0	0.0
MI134PK	0.0	0.0
MI1345PP	0.0	0.44204468929999463
ITKPK	0.0	0.44204468929998636
MITKP	0.0	0.4420446893000417
MI145PP	0.0	0.0
MI14PP	0.0	0.0
MI3PS	0.0	0.0
MI3PP	0.0	0.0
MI13PP	0.0	0.0
FFSD	0.0	0.0
UDPGP	0.0	0.22102234465001586
TRE6PP	0.0	0.14734822976667716
TREH	0.0	0.14734822976667117
TRE6PS	0.0	0.1473482297666711
AAMYL_1	0.0	0.0
MALT	0.0	0.0
ALCD20y	0.0	0.0
MGSA	0.0	0.14734822976668105
OBTFL	0.0	0.0
ACS2	0.0	0.0
MME	0.0	0.0
BTCOARx	0.0	0.0
BTDD_RR	0.0	0.0
ACLDC	0.0	0.0
ACLSb	0.0	0.0
PFL	0.5301493632677813	1.544339079663432
GLDBRAN2	0.0	1000.0
GLBRAN2	0.0	1000.0
GLCP2	0.0	0.0
GLCP	0.0	0.0
XYLI1	0.0	0.0
XYLK	0.0	0.0
AAMYL	0.0	0.0
PPA	0.08789555215836381	0.31128220902080267
PYRDC	0.0	0.5891456713372263
ALDD2x	0.0	0.4420446892999689
FBA3	0.0	1.4590138774298522
PFK_3	0.0	1.4590138774298522
ALATA_L	-0.005750083037220826	-0.0051750747334987435
ASNS2	0.0	0.23468856183301146
ASNN	0.0	0.22102234464999884
ASPTA	-0.19433516612309393	-0.08382309890323768
GLUDy	-0.35278671713517185	0.2366062019314984
GLUSy	0.0	0.44204468930004237
GLNS	0.059705498410765175	0.5017501877108081
GLUN	0.0	0.4420446892999913
ASPCT	0.018760237854045913	0.020844708726717683
ASNS1	0.0	0.15645904122201065
r0085	0.0	0.0
ARGSS	0.004418403484688375	0.004909337205209316
ADSS	0.007214471095737383	0.11772653831558666
ARGSL	0.004418403484688375	0.004909337205209316
ADSL1r	0.007214471095737383	0.11772653831558666
GLUDC	0.0	0.0
CBPS	0.023178641338734287	0.025754045931927046
GLUPRT	0.005035304884773392	0.00559478320530409
GLYCK	0.0	0.2210259242294358
HPYRRy	0.0	3.977306897364804e-06
HPYRRx	0.0	3.97731047595928e-06
PGCD	0.0	0.16718761455964337
PSERT	0.0	0.16718761455962639
PSP_L	0.0	0.16718761455962639
TRPS2	0.0	0.1473482297666841
TRPS1	0.0	0.0012106970320632108
GNMT	0.0	0.0
SER_AL	0.0	0.0
THRA	0.0	0.06269535545986085
GLYAT	-0.06269535545984195	0.0
THRS	0.007454388807312846	0.0848510164890468
THRD	0.0	0.06269535545984195
THRD_L	0.0	0.01633474691319232
HSK	0.007454388807312846	0.08485101648904347
HSDy	-0.4642003503292303	-0.022155661029185897
HSDxi	-0.44204468929997953	0.0
ASAD	-0.0848510164890501	-0.022155661029185897
ASPK	0.022155661029185897	0.08485101648904253
GHMT2r	-0.05180582613802551	0.012099477024266135
SERD_L	0.0	0.1473482297666751
CYS	-0.45674596152187313	0.0
2AMACHYD	0.0	0.0
SERAT	0.0	0.44204468929996843
CYSS	0.0	0.44204468930001956
CYSTGL	-0.003041786318945406	0.013292960594246943
CYSTS	-0.003041786318945406	0.1593118943015093
ADMDC	0.0	0.0
SPMS	0.0	0.0
MTAP	0.0	0.0
MTRI	0.0	0.0
CYSDS	0.0	0.11418649038046962
CYSTA	0.0	0.0
ACPCS	0.0	0.0
METSR_S1	0.0	0.0
ARAT	0.0	0.0
AHCi	3.5795794283637324e-06	0.14735180934609235
CYTOM	0.0	0.0
HSERTA	0.0	0.016334746913192283
FMETDF	0.0	0.0
MHPGLUT	0.0	0.0
AHSERL2	0.0	0.016334746913192283
HMR_3915	0.0	0.14734822976665088
ACLS	0.022140530820389557	0.02460058980043309
KARA1	-0.02460058980043324	-0.022140530820389557
DHAD1	0.022140530820389557	0.024600589800433156
ACHBS	0.01196366453482222	0.01329296059424691
KARA2	-999.9880363354652	0.013292960594246962
DHAD2	0.01196366453482222	0.01329296059424691
IPPMIb	-0.012371175996571601	-0.011134058396914333
IPPMIa	-0.01237117599657148	-0.011134058396914333
IPMD	0.011134058396914333	0.012371175996571507
OMCDC	0.011134058396914333	0.01237117599657148
ILETA	-0.01329296059424691	-0.01196366453482222
VALTA	-0.006975386665118847	-0.006277847998606963
LEUTA	-0.01237117599657148	999.9888659416031
MHGS	0.0	1000.0
KAT1	0.0	0.0
HIBD	0.0	0.0
MMSAD1	0.0	0.0
PPCOAC	0.0	0.0
KARI_1	0.0	1000.0
KARI_23dhmp_1	0.0	1000.0
HCITS	0.01233216354589516	0.013702403939883546
AATA	0.01233216354589516	0.013702403939883569
AASAD1	0.0	0.15556967213038692
SACCD1	0.01233216354589516	0.013702403939883534
SACCD2	0.01233216354589516	0.013702403939883569
LYSDC	0.0	0.0
AASAD3	0.0	0.22102234465001358
AASAD2	0.0	0.2333545081958932
OXOADLR	0.0	0.0
GLCOASYNT	0.0	0.0
GLUTCOADHc	0.0	0.0
ECOAH1	0.0	0.0
ACACCT	0.0	0.0
ACGS	0.0	0.0049038909562429825
ACGK	0.00441840348468836	0.004909337205209339
AGPR	-0.004909337205209316	-0.00441840348468836
ACOTA	-0.004909337205209305	-0.004418403484688375
ORNTAC	0.0	0.004909337205209316
OCBT	0.004418403484688375	0.004909337205209305
ACODA	0.0	0.0049038909562429695
ARGN	0.0	0.0
GLU5K	0.004766904674969703	0.0052965607499663725
G5SD	0.004766904674969703	0.005296560749966337
PRO1y	-0.44681159397497044	-0.004766904674969703
PRO1x	0.0	0.44204468930000074
ORNDC	0.0	0.0
SPRMS	0.0	0.0
G5SADs	0.004766904674969703	0.005296560749966348
ABTA	0.0	0.0
GACMTRc	0.0	0.0
CMPA_1	0.0	0.0
PTRCAT1	0.0	0.0
AABHH	0.0	0.0
ATPPRT	0.0022729774319401016	0.002525530479933446
PRATPP	0.0022729774319401016	0.002525530479933446
PRMICI	0.0022729774319401016	0.002525530479933446
IGPDH	0.0022729774319401016	0.002525530479933446
HSTPT	0.0022729774319401016	0.002525530479933446
HISTP	0.0022729774319401016	0.002525530479933446
HISTD	0.0022729774319401016	0.002525530479933446
PRAMPC	0.0022729774319401016	0.002525530479933446
IG3PS	0.0022729774319401016	0.002525530479933446
DDPA	0.013224811508415741	0.014694235009350824
DHQS	0.013224811508415741	0.014694235009350824
DHQTi	0.013224811508415741	0.014694235009350824
SHK3Dr	0.013224811508415741	0.014694235009350824
SHKK	0.013224811508415741	0.014694235009350824
PSCVT	0.013224811508415741	0.014694235009350824
CHORS	0.013224811508415741	0.014694235009350824
CHORM	0.012134288143411364	0.013482542381568182
PPND2	-0.43579522211839317	0.00694385242406813
TYRTA	-0.006943852424068146	-0.006249467181661318
PHETA1	-0.006538689957500052	-0.005884820961750047
AROH	0.0	0.0
PPNDH	0.005884820961750047	0.006538689957500052
ANS	0.0010905233650043776	0.0012116926277826415
ANPRT	0.0010905233650043776	0.0012116926277826415
PRAIi	0.0010905233650043776	0.0012116926277826415
IGPS	0.0010905233650043776	0.0012116926277826415
TRPAS2	-0.0012116926277826443	0.14625770640167973
INDPYRD	0.0	0.0
NTRLASE	0.0	0.0
ALDD20x	0.0	0.0
ALDD20y	0.0	0.0
FKYNH	0.0	0.0
KYNAKGAT	0.0	0.0
3HKYNAKGAT	0.0	0.0
3HXKYNDCL	0.0	0.0
HACD1	-0.44204468930005536	0.0
HBCO_nadp	0.0	0.44204468930005536
EX_ac_e	0.48529525946187246	0.711876893
EX_cellb_e	-0.75	-0.75
EX_co2_e	0.0	0.6324354395464982
EX_etoh_e	0.6451517465666072	1.013514567
EX_for_e	1.087540278	1.5507451383971274
EX_fru_e	0.0	0.0
EX_gal_e	0.0	0.0
EX_glc__D_e	0.0	0.0
EX_h_e	2.8202286877196427	3.6182609174684965
EX_h2_e	0.047483008	0.189248895
EX_h2o_e	-0.8793575595173959	-0.5905714422035901
EX_lac__D_e	0.716237324	1.08919967
EX_lac__L_e	0.0	0.0
EX_man_e	0.0	0.0
EX_nh4_e	-0.3039295073227477	-0.2679406413718829
EX_pi_e	-0.05875578063534875	-0.05288020257181203
EX_rib__D_e	0.0	0.0
EX_xyl__D_e	0.0	0.0
EX_gly_e	0.0	0.0
EX_ala__L_e	0.0	0.0
EX_val__L_e	0.0	0.0
EX_leu__L_e	0.0	0.0
EX_met__L_e	0.0	0.0
EX_ile__L_e	0.0	0.0
EX_ser__L_e	0.0	0.0
EX_thr__L_e	0.0	0.0
EX_cys__L_e	-0.010583872755885118	0.0
EX_pro__L_e	0.0	0.0
EX_asn__L_e	0.0	0.0
EX_gln__L_e	0.0	0.0
EX_phe__L_e	0.0	0.0
EX_tyr__L_e	0.0	0.0
EX_trp__L_e	0.0	0.0
EX_lys__L_e	0.0	0.0
EX_arg__L_e	0.0	0.0
EX_his__L_e	0.0	0.0
EX_asp__L_e	0.0	0.0
EX_glu__L_e	0.0	0.0
EX_sbt__D_e	0.0	0.0
EX_malt_e	0.0	0.0
