	minimum	maximum
ALCD2x	-1.7772782775975136	-0.7312782775993376
IPPS	0.012401471559709507	0.013779412844121628
ACCOAC	0.07790297862818492	0.08655886514242894
MI4PP	0.0	0.0
MI3456PK	0.0	0.0
ITKK	0.0	0.0
MI134PK	0.0	0.0
MI1345PP	0.0	0.5230000000000681
ITKPK	0.0	0.5230000000000348
MITKP	0.0	0.5230000000000703
MI145PP	0.0	0.0
MI14PP	0.0	0.0
MI3PS	0.0	0.0
MI3PP	0.0	0.0
MI13PP	0.0	0.0
FFSD	0.0	0.0
UDPGP	0.0	0.2614999999999966
TRE6PP	0.0	0.17433333333332346
TREH	0.0	0.17433333333333068
TRE6PS	0.0	0.17433333333333068
AAMYL_1	0.0	0.0
MALT	0.0	0.0
ALCD20y	0.0	0.0
MGSA	0.0	0.1743333333333728
OBTFL	0.0	0.0
ACS2	0.0	0.0
MME	0.0	0.0
BTCOARx	0.0	0.0
BTDD_RR	0.0	0.0
ACLDC	0.0	0.0
ACLSb	0.0	0.0
PFL	0.9077630408888282	1.9701377896868517
GLDBRAN2	0.0	1000.0
GLBRAN2	0.0	1000.0
GLCP2	0.0	0.0
GLCP	0.0	0.0
XYLI1	0.0	0.0
XYLK	0.0	0.0
AAMYL	0.0	0.0
PPA	0.09790088676191998	0.3620343335802827
PYRDC	0.0	1.0460000000000682
ALDD2x	0.0	0.5230000000000687
FBA3	0.0	1.4543483413435931
PFK_3	0.0	1.4543483413435931
ALATA_L	-0.00640462702008323	-0.00576416431807491
ASNS2	0.0	0.2767218712784123
ASNN	0.0	0.26150000000002327
ASPTA	-0.232402508197186	-0.09336485763207815
GLUDy	-0.40315731355210316	0.29417601978129215
GLUSy	0.0	0.5230000000000385
GLNS	0.06650190021498485	0.5895019002150209
GLUN	0.0	0.5230000000000842
ASPCT	0.020895754980485237	0.02321750553387247
ASNS1	0.0	0.1844812475189278
r0085	0.0	0.0
ARGSS	0.004921359597850676	0.005468177330945197
ADSS	0.008035709435194884	0.13878670619780695
ARGSL	0.004921359597850676	0.005468177330945216
ADSL1r	0.008035709435194884	0.13878670619780695
GLUDC	0.0	0.0
CBPS	0.025817114578335913	0.028685682864817787
GLUPRT	0.005608484175028829	0.006231649083369109
GLYCK	0.0	0.2615039870504542
HPYRRy	0.0	4.430052296588848e-06
HPYRRx	0.0	4.430056049052776e-06
PGCD	0.0	0.19643107680666066
PSERT	0.0	0.19643107680667699
PSP_L	0.0	0.19643107680667699
TRPS2	0.0	0.1743333333333381
TRPS1	0.0	0.0013485781170815899
GNMT	0.0	0.0
SER_AL	0.0	0.0
THRA	0.0	0.10714422371273091
GLYAT	-0.10714422371272886	0.0
THRS	0.008302937481855425	0.13182190999251464
THRD	0.0	0.10714422371272558
THRD_L	0.0	0.018194165331048374
HSK	0.008302937481855425	0.1318219099925263
HSDy	-0.5476776862798596	-0.02467768627979896
HSDxi	-0.5229999999999743	0.0
ASAD	-0.1318219099925291	-0.02467768627979896
ASPK	0.02467768627979896	0.1318219099925275
GHMT2r	-0.09501511648432996	0.01347678580933023
SERD_L	0.0	0.1743333333333524
CYS	-0.5393747487979832	0.0
2AMACHYD	0.0	0.0
SERAT	0.0	0.5230000000000019
CYSS	0.0	0.5229999999999995
CYSTGL	-0.0033880392198741144	0.014806126111174309
CYSTS	-0.003388039219874125	0.18765884683340153
ADMDC	0.0	0.0
SPMS	0.0	0.0
MTAP	0.0	0.0
MTRI	0.0	0.0
CYSDS	0.0	0.13484368719950268
CYSTA	0.0	0.0
ACPCS	0.0	0.0
METSR_S1	0.0	0.0
ARAT	0.0	0.0
AHCi	3.987050444146831e-06	0.17433732038378214
CYTOM	0.0	0.0
HSERTA	0.0	0.01819416533104836
FMETDF	0.0	0.0
MHPGLUT	0.0	0.0
AHSERL2	0.0	0.018194165331048385
HMR_3915	0.0	0.1743333333333433
ACLS	0.02466083376767909	0.02740092640853241
KARA1	-0.027400926408532318	-0.024660833767679077
DHAD1	0.024660833767679077	0.02740092640853245
ACHBS	0.01332551350005683	0.014806126111174295
KARA2	-999.9866744865	0.014806126111174243
DHAD2	0.01332551350005683	0.014806126111174212
IPPMIb	-0.01377941284412175	-0.012401471559709507
IPPMIa	-0.013779412844121684	-0.012401471559709507
IPMD	0.012401471559709507	0.0137794128441217
OMCDC	0.012401471559709507	0.013779412844121635
ILETA	-0.014806126111174246	-0.01332551350005683
VALTA	-0.007769409523612901	-0.006992468571251605
LEUTA	-0.013779412844121687	999.9875985284403
MHGS	0.0	1000.0
KAT1	0.0	0.0
HIBD	0.0	0.0
MMSAD1	0.0	0.0
PPCOAC	0.0	0.0
KARI_1	0.0	1000.0
KARI_23dhmp_1	0.0	1000.0
HCITS	0.013735959524560228	0.01526217724951138
AATA	0.013735959524560228	0.015262177249511318
AASAD1	0.0	0.18349063968308807
SACCD1	0.013735959524560228	0.015262177249511412
SACCD2	0.013735959524560228	0.015262177249511318
LYSDC	0.0	0.0
AASAD3	0.0	0.2615000000000421
AASAD2	0.0	0.27523595952458413
OXOADLR	0.0	0.0
GLCOASYNT	0.0	0.0
GLUTCOADHc	0.0	0.0
ECOAH1	0.0	0.0
ACACCT	0.0	0.0
ACGS	0.0	0.005462466100867985
